GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 131072, iter: 2500, t: 38.7723, relres: 0.0256928, relerr: 1.53303
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 56.0614, relres: 0.198064, relerr: 1.49557
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 56.3402, relres: 0.198721, relerr: 1.48603
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 56.5698, relres: 0.198326, relerr: 1.47728
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 56.4798, relres: 0.198445, relerr: 1.48484
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 56.2114, relres: 0.197346, relerr: 1.49111
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 56.1753, relres: 0.195024, relerr: 1.4919
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 56.0332, relres: 0.20025, relerr: 1.48145
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 56.12, relres: 0.198538, relerr: 1.49013
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 56.6146, relres: 0.197938, relerr: 1.48561
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 56.5567, relres: 0.197772, relerr: 1.50237
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 56.4533, relres: 0.201272, relerr: 1.50112
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 56.0539, relres: 0.196753, relerr: 1.49564
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 56.2722, relres: 0.20053, relerr: 1.49114
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 56.2243, relres: 0.198834, relerr: 1.4897
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 56.3203, relres: 0.198991, relerr: 1.47886
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 56.5676, relres: 0.197478, relerr: 1.49067
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 56.5459, relres: 0.199907, relerr: 1.48681
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 56.7621, relres: 0.195858, relerr: 1.4864
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 56.3287, relres: 0.197411, relerr: 1.47347
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 56.2333, relres: 0.197905, relerr: 1.48052
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 56.4941, relres: 0.201357, relerr: 1.49001
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 56.6411, relres: 0.199883, relerr: 1.49811
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 56.1294, relres: 0.199664, relerr: 1.47284
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 55.9307, relres: 0.199526, relerr: 1.48228
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 56.0849, relres: 0.193765, relerr: 1.42623
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 56.2586, relres: 0.196953, relerr: 1.47729
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 56.2944, relres: 0.199697, relerr: 1.49991
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 56.7372, relres: 0.198318, relerr: 1.49336
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 56.1491, relres: 0.198111, relerr: 1.47914
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 56.1569, relres: 0.200359, relerr: 1.48723
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 56.1151, relres: 0.197346, relerr: 1.50495
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 56.3875, relres: 0.197367, relerr: 1.47885
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 56.9699, relres: 0.198009, relerr: 1.50592
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 262144, iter: 2500, t: 74.8676, relres: 0.318538, relerr: 1.4215
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 262144, iter: 2500, t: 75.4721, relres: 0.3151, relerr: 1.38853
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 262144, iter: 2500, t: 74.514, relres: 0.321407, relerr: 1.40154
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 262144, iter: 2500, t: 74.8699, relres: 0.320457, relerr: 1.42481
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 262144, iter: 2500, t: 74.4457, relres: 0.314423, relerr: 1.3983
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 262144, iter: 2500, t: 75.5864, relres: 0.319743, relerr: 1.43719
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 262144, iter: 2500, t: 75.0377, relres: 0.31992, relerr: 1.43337
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 262144, iter: 2500, t: 74.7139, relres: 0.316862, relerr: 1.46434
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 262144, iter: 2500, t: 74.5608, relres: 0.313581, relerr: 1.38501
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 262144, iter: 2500, t: 74.2544, relres: 0.320225, relerr: 1.41539
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 262144, iter: 2500, t: 74.5914, relres: 0.320328, relerr: 1.43628
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 262144, iter: 2500, t: 75.4751, relres: 0.314888, relerr: 1.34184
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 262144, iter: 2500, t: 75.1045, relres: 0.312903, relerr: 1.37118
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 262144, iter: 2500, t: 74.8688, relres: 0.318573, relerr: 1.43016
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 262144, iter: 2500, t: 74.8038, relres: 0.321358, relerr: 1.42789
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 262144, iter: 2500, t: 75.2599, relres: 0.314954, relerr: 1.36452
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 262144, iter: 2500, t: 74.5897, relres: 0.31822, relerr: 1.39869
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 262144, iter: 2500, t: 74.6462, relres: 0.321323, relerr: 1.44904
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 262144, iter: 2500, t: 74.522, relres: 0.311705, relerr: 1.37325
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 262144, iter: 2500, t: 74.8132, relres: 0.32098, relerr: 1.41994
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 262144, iter: 2500, t: 74.219, relres: 0.322078, relerr: 1.41089
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 262144, iter: 2500, t: 74.6296, relres: 0.320251, relerr: 1.41504
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 262144, iter: 2500, t: 74.775, relres: 0.315535, relerr: 1.44084
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 262144, iter: 2500, t: 74.5413, relres: 0.318705, relerr: 1.40907
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 262144, iter: 2500, t: 74.8496, relres: 0.317637, relerr: 1.41688
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 262144, iter: 2500, t: 74.3429, relres: 0.321005, relerr: 1.41092
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 262144, iter: 2500, t: 74.3875, relres: 0.313361, relerr: 1.39184
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 262144, iter: 2500, t: 74.6353, relres: 0.314165, relerr: 1.40256
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 262144, iter: 2500, t: 74.9564, relres: 0.317665, relerr: 1.45706
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 262144, iter: 2500, t: 73.993, relres: 0.315834, relerr: 1.43021
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 262144, iter: 2500, t: 74.7302, relres: 0.315177, relerr: 1.43378
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 262144, iter: 2500, t: 74.854, relres: 0.318476, relerr: 1.44652
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 262144, iter: 2500, t: 76.0762, relres: 0.317946, relerr: 1.46437
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 262144, iter: 2500, t: 74.9898, relres: 0.322012, relerr: 1.42291
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 262144, iter: 2500, t: 74.4296, relres: 0.315635, relerr: 1.39638
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 262144, iter: 2500, t: 74.6074, relres: 0.322672, relerr: 1.43802
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 262144, iter: 2500, t: 75.2583, relres: 0.3218, relerr: 1.43084
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 262144, iter: 2500, t: 75.1995, relres: 0.320537, relerr: 1.45267
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 262144, iter: 2500, t: 74.3598, relres: 0.31915, relerr: 1.3919
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 262144, iter: 2500, t: 75.2636, relres: 0.317878, relerr: 1.4041
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 262144, iter: 2500, t: 74.3557, relres: 0.322911, relerr: 1.43185
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 262144, iter: 2500, t: 74.736, relres: 0.322517, relerr: 1.42287
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 262144, iter: 2500, t: 74.5235, relres: 0.315188, relerr: 1.4556
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 262144, iter: 2500, t: 74.66, relres: 0.323995, relerr: 1.44986
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 262144, iter: 2500, t: 74.7721, relres: 0.312959, relerr: 1.41458
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 262144, iter: 2500, t: 75.2891, relres: 0.314726, relerr: 1.42143
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 262144, iter: 2500, t: 75.1404, relres: 0.319754, relerr: 1.4055
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 262144, iter: 2500, t: 74.38, relres: 0.322053, relerr: 1.41008
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 262144, iter: 2500, t: 74.6298, relres: 0.314948, relerr: 1.4011
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 262144, iter: 2500, t: 74.5728, relres: 0.31891, relerr: 1.41925
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 327680, iter: 2260, t: 86.2068, relres: 9.96493e-09, relerr: 2.40871e-08
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 327680, iter: 2500, t: 92.1077, relres: 0.39058, relerr: 1.28327
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 327680, iter: 2500, t: 92.1303, relres: 0.391951, relerr: 1.26916
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 327680, iter: 2036, t: 74.7453, relres: 9.71576e-09, relerr: 2.34728e-08
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 327680, iter: 2500, t: 91.8422, relres: 0.396785, relerr: 1.31902
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 327680, iter: 2500, t: 92.2828, relres: 0.379408, relerr: 1.19523
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 327680, iter: 2500, t: 91.9526, relres: 0.391533, relerr: 1.24957
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 327680, iter: 2500, t: 92.1953, relres: 0.38096, relerr: 1.2142
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 327680, iter: 1837, t: 67.5102, relres: 9.00059e-09, relerr: 2.18899e-08
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 327680, iter: 2500, t: 91.9786, relres: 0.389801, relerr: 1.39217
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 327680, iter: 2500, t: 91.8099, relres: 0.39873, relerr: 1.35009
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 327680, iter: 2500, t: 91.7896, relres: 0.389554, relerr: 1.27305
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 327680, iter: 1705, t: 62.6606, relres: 9.11285e-09, relerr: 2.19188e-08
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 327680, iter: 2500, t: 92.2769, relres: 0.392286, relerr: 1.28037
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 327680, iter: 1825, t: 67.5068, relres: 9.8723e-09, relerr: 2.39121e-08
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 327680, iter: 2500, t: 92.1443, relres: 0.396339, relerr: 1.29626
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 327680, iter: 2500, t: 92.1237, relres: 0.382986, relerr: 1.24589
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 327680, iter: 2500, t: 91.7911, relres: 6.19794e-05, relerr: 0.000130284
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 327680, iter: 2174, t: 80.14, relres: 9.86472e-09, relerr: 2.38504e-08
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 327680, iter: 2500, t: 91.936, relres: 0.384336, relerr: 1.21302
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 327680, iter: 2500, t: 91.7756, relres: 0.400603, relerr: 1.37566
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 327680, iter: 2500, t: 91.9945, relres: 0.377283, relerr: 1.17006
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 327680, iter: 2500, t: 92.6387, relres: 0.375869, relerr: 1.17242
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 327680, iter: 1613, t: 59.4961, relres: 9.84035e-09, relerr: 2.37958e-08
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 327680, iter: 2500, t: 91.8171, relres: 0.389983, relerr: 1.26239
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 327680, iter: 2016, t: 73.9721, relres: 9.72558e-09, relerr: 2.35532e-08
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 327680, iter: 2026, t: 74.3688, relres: 9.43817e-09, relerr: 2.28441e-08
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 327680, iter: 2500, t: 92.3883, relres: 0.39495, relerr: 1.40704
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 327680, iter: 2500, t: 92.0239, relres: 0.384708, relerr: 1.21068
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 327680, iter: 2500, t: 91.9804, relres: 0.399137, relerr: 1.38542
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 327680, iter: 2500, t: 92.5821, relres: 0.402944, relerr: 1.39402
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 327680, iter: 2500, t: 92.0726, relres: 0.396295, relerr: 1.30756
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 327680, iter: 2500, t: 92.0148, relres: 0.390944, relerr: 1.29871
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 327680, iter: 2500, t: 92.3538, relres: 0.39192, relerr: 1.3519
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 327680, iter: 2500, t: 92.2189, relres: 0.378669, relerr: 1.20202
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 327680, iter: 2500, t: 92.3416, relres: 0.388974, relerr: 1.33016
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 327680, iter: 2500, t: 92.3191, relres: 0.389035, relerr: 1.28106
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 327680, iter: 2500, t: 91.7584, relres: 0.370873, relerr: 1.11136
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 327680, iter: 2500, t: 92.5328, relres: 0.391728, relerr: 1.25404
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 327680, iter: 2500, t: 92.3876, relres: 0.381153, relerr: 1.18105
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 327680, iter: 1986, t: 73.0363, relres: 9.2593e-09, relerr: 2.24711e-08
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 327680, iter: 2500, t: 91.8865, relres: 0.394441, relerr: 1.34839
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 327680, iter: 2500, t: 92.223, relres: 0.343312, relerr: 0.924669
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 327680, iter: 2500, t: 92.1125, relres: 0.393075, relerr: 1.36495
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 327680, iter: 1853, t: 68.3285, relres: 9.72282e-09, relerr: 2.35967e-08
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 327680, iter: 2500, t: 92.5568, relres: 0.380529, relerr: 1.19567
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 327680, iter: 1309, t: 48.3948, relres: 9.38335e-09, relerr: 2.26924e-08
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 327680, iter: 2500, t: 92.179, relres: 0.352775, relerr: 0.967056
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 327680, iter: 2500, t: 92.194, relres: 0.394583, relerr: 1.33728
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 327680, iter: 2500, t: 91.9439, relres: 0.379021, relerr: 1.18243
