GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 131072, iter: 2500, t: 39.0576, relres: 0.0252217, relerr: 1.54706
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 327680, iter: 2500, t: 112.243, relres: 0.392352, relerr: 1.44866
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 327680, iter: 2500, t: 114.481, relres: 0.392791, relerr: 1.42018
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 327680, iter: 2500, t: 123.168, relres: 0.39296, relerr: 1.4604
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 327680, iter: 2500, t: 119.395, relres: 0.39292, relerr: 1.4636
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 327680, iter: 2500, t: 104.194, relres: 0.393289, relerr: 1.41783
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 327680, iter: 2500, t: 127.304, relres: 0.393268, relerr: 1.43466
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 327680, iter: 2500, t: 115.094, relres: 0.392357, relerr: 1.42512
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 327680, iter: 2500, t: 109.618, relres: 0.392061, relerr: 1.44355
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 327680, iter: 2500, t: 114.214, relres: 0.392355, relerr: 1.41801
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 327680, iter: 2500, t: 105.811, relres: 0.391645, relerr: 1.39482
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 327680, iter: 2500, t: 103.561, relres: 0.392489, relerr: 1.41417
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 327680, iter: 2500, t: 92.6122, relres: 0.392053, relerr: 1.4029
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 327680, iter: 2500, t: 93.5322, relres: 0.392631, relerr: 1.43751
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 327680, iter: 2500, t: 93.1241, relres: 0.391837, relerr: 1.42937
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 327680, iter: 2500, t: 93.473, relres: 0.390626, relerr: 1.42546
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 327680, iter: 2500, t: 106.951, relres: 0.391721, relerr: 1.40829
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 327680, iter: 2500, t: 112.814, relres: 0.392079, relerr: 1.42991
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 327680, iter: 2500, t: 110.854, relres: 0.392616, relerr: 1.446
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 327680, iter: 2500, t: 107.983, relres: 0.392599, relerr: 1.44631
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 327680, iter: 2500, t: 108.881, relres: 0.392497, relerr: 1.42174
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 327680, iter: 2500, t: 101.622, relres: 0.392346, relerr: 1.40745
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 327680, iter: 2500, t: 106.577, relres: 0.390612, relerr: 1.4107
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 327680, iter: 2500, t: 100.578, relres: 0.391087, relerr: 1.3943
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 327680, iter: 2500, t: 102.315, relres: 0.393354, relerr: 1.42716
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 327680, iter: 2500, t: 103.78, relres: 0.393317, relerr: 1.42776
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 327680, iter: 2500, t: 103.932, relres: 0.393186, relerr: 1.44635
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 327680, iter: 2500, t: 101.044, relres: 0.392381, relerr: 1.44845
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 327680, iter: 2500, t: 98.9393, relres: 0.392342, relerr: 1.42006
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 327680, iter: 2500, t: 103.435, relres: 0.393474, relerr: 1.45009
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 327680, iter: 2500, t: 99.7429, relres: 0.391592, relerr: 1.43113
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 327680, iter: 2500, t: 98.966, relres: 0.392832, relerr: 1.44493
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 327680, iter: 2500, t: 98.5849, relres: 0.393554, relerr: 1.45018
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 327680, iter: 2500, t: 99.6192, relres: 0.392022, relerr: 1.42302
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 327680, iter: 2500, t: 98.5209, relres: 0.393324, relerr: 1.42663
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 327680, iter: 2500, t: 101.245, relres: 0.394009, relerr: 1.44091
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 327680, iter: 2500, t: 101.265, relres: 0.391031, relerr: 1.3602
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 327680, iter: 2500, t: 105.254, relres: 0.392778, relerr: 1.39382
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 327680, iter: 2500, t: 102.127, relres: 0.393401, relerr: 1.41661
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 393216, iter: 2500, t: 113.069, relres: 0.448882, relerr: 1.39593
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 393216, iter: 2500, t: 114.264, relres: 0.451077, relerr: 1.4005
