GerSax -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.1, iter: 2500, t: 0.932974, relres: 0.102541, relerr: 0.117889
GerSax -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.005, iter: 2500, t: 0.899733, relres: 0.00690431, relerr: 0.00881305
GerSax -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.005, iter: 2500, t: 0.872837, relres: 0.00662627, relerr: 0.00913939
GerSax -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.005, iter: 2500, t: 0.873788, relres: 0.00647405, relerr: 0.00813495
GerSax -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.005, iter: 2500, t: 0.871755, relres: 0.00648692, relerr: 0.00817796
GerSax -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.005, iter: 2500, t: 0.760153, relres: 0.00695189, relerr: 0.00883553
GerSax -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.005, iter: 2500, t: 0.764281, relres: 0.00656293, relerr: 0.00826147
GerSax -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.005, iter: 2500, t: 0.763195, relres: 0.00665895, relerr: 0.00838696
GerSax -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.005, iter: 2500, t: 0.845722, relres: 0.00688265, relerr: 0.00899882
GerSax -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.005, iter: 2500, t: 0.797752, relres: 0.00623127, relerr: 0.00765135
GerSax -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.005, iter: 2500, t: 0.76497, relres: 0.00636534, relerr: 0.00831669
GerSax -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.001, iter: 2500, t: 0.80245, relres: 0.00138578, relerr: 0.00169807
GerSax -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.001, iter: 2500, t: 0.888642, relres: 0.0013053, relerr: 0.00173837
GerSax -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.001, iter: 2500, t: 0.823717, relres: 0.00154926, relerr: 0.00204024
GerSax -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.001, iter: 2500, t: 0.81216, relres: 0.00145054, relerr: 0.00192999
GerSax -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.001, iter: 2500, t: 0.852239, relres: 0.00134741, relerr: 0.00198608
GerSax -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.001, iter: 2500, t: 0.78325, relres: 0.00123027, relerr: 0.00160225
GerSax -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.001, iter: 2500, t: 0.798276, relres: 0.00155708, relerr: 0.00219333
GerSax -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.001, iter: 2500, t: 0.796745, relres: 0.00135722, relerr: 0.00162599
GerSax -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.001, iter: 2500, t: 0.763213, relres: 0.00130643, relerr: 0.00173227
GerSax -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.001, iter: 2500, t: 0.766204, relres: 0.00143127, relerr: 0.00181709
GerSax -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.0005, iter: 2500, t: 0.758561, relres: 0.000845811, relerr: 0.0010958
GerSax -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.0005, iter: 2500, t: 0.857312, relres: 0.000780771, relerr: 0.00107776
GerSax -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.0005, iter: 2500, t: 0.779477, relres: 0.000609787, relerr: 0.000778164
GerSax -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.0005, iter: 2500, t: 0.770862, relres: 0.000632633, relerr: 0.000765375
GerSax -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.0005, iter: 2500, t: 0.769825, relres: 0.00063912, relerr: 0.000770048
GerSax -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.0005, iter: 2500, t: 0.768031, relres: 0.000889251, relerr: 0.0012421
GerSax -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.0005, iter: 2500, t: 0.766704, relres: 0.000860693, relerr: 0.00123441
GerSax -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.0005, iter: 2500, t: 0.759981, relres: 0.000758739, relerr: 0.00108849
GerSax -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.0005, iter: 2500, t: 0.789842, relres: 0.000833483, relerr: 0.00113124
GerSax -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.0005, iter: 2500, t: 0.78774, relres: 0.000847822, relerr: 0.00113846
GerSax -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.0001, iter: 2500, t: 0.871984, relres: 0.000137634, relerr: 0.000194877
GerSax -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.0001, iter: 2500, t: 0.874622, relres: 0.00015803, relerr: 0.000210114
GerSax -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.0001, iter: 2500, t: 0.848241, relres: 0.00016346, relerr: 0.000234568
GerSax -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.0001, iter: 2500, t: 0.765853, relres: 0.000139547, relerr: 0.00017404
GerSax -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.0001, iter: 2500, t: 0.852944, relres: 0.000152119, relerr: 0.000195919
GerSax -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.0001, iter: 2500, t: 0.762139, relres: 0.000127921, relerr: 0.000158996
GerSax -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.0001, iter: 2500, t: 0.764648, relres: 0.000120551, relerr: 0.000138808
GerSax -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.0001, iter: 2500, t: 0.892271, relres: 0.000161554, relerr: 0.000213599
GerSax -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.0001, iter: 2500, t: 0.760737, relres: 0.000178325, relerr: 0.000240495
GerSax -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.0001, iter: 2500, t: 0.763839, relres: 0.000123487, relerr: 0.000162962
GerSax -> cdp, eig_init, n: 256, m: 1536, epsilon: 5e-05, iter: 2500, t: 0.879761, relres: 6.37715e-05, relerr: 8.39652e-05
GerSax -> cdp, eig_init, n: 256, m: 1536, epsilon: 5e-05, iter: 2500, t: 0.848332, relres: 7.17509e-05, relerr: 9.74531e-05
GerSax -> cdp, eig_init, n: 256, m: 1536, epsilon: 5e-05, iter: 2500, t: 0.766886, relres: 7.06387e-05, relerr: 8.857e-05
GerSax -> cdp, eig_init, n: 256, m: 1536, epsilon: 5e-05, iter: 2500, t: 0.774317, relres: 8.3682e-05, relerr: 0.000115384
GerSax -> cdp, eig_init, n: 256, m: 1536, epsilon: 5e-05, iter: 2500, t: 0.873144, relres: 0.000100206, relerr: 0.000139678
GerSax -> cdp, eig_init, n: 256, m: 1536, epsilon: 5e-05, iter: 2500, t: 0.851607, relres: 7.23284e-05, relerr: 9.48045e-05
GerSax -> cdp, eig_init, n: 256, m: 1536, epsilon: 5e-05, iter: 2500, t: 0.871045, relres: 7.05269e-05, relerr: 9.09127e-05
GerSax -> cdp, eig_init, n: 256, m: 1536, epsilon: 5e-05, iter: 2500, t: 0.851068, relres: 7.34549e-05, relerr: 9.54735e-05
GerSax -> cdp, eig_init, n: 256, m: 1536, epsilon: 5e-05, iter: 2500, t: 0.903219, relres: 6.95968e-05, relerr: 9.08516e-05
GerSax -> cdp, eig_init, n: 256, m: 1536, epsilon: 5e-05, iter: 2500, t: 0.762483, relres: 0.0002224, relerr: 0.000316006
GerSax -> cdp, eig_init, n: 256, m: 1536, epsilon: 1e-05, iter: 2500, t: 0.923138, relres: 1.33969e-05, relerr: 1.73284e-05
GerSax -> cdp, eig_init, n: 256, m: 1536, epsilon: 1e-05, iter: 2500, t: 0.855235, relres: 2.0739e-05, relerr: 3.08762e-05
GerSax -> cdp, eig_init, n: 256, m: 1536, epsilon: 1e-05, iter: 2500, t: 0.856007, relres: 1.28833e-05, relerr: 1.61916e-05
GerSax -> cdp, eig_init, n: 256, m: 1536, epsilon: 1e-05, iter: 2500, t: 0.762557, relres: 1.36953e-05, relerr: 1.75533e-05
GerSax -> cdp, eig_init, n: 256, m: 1536, epsilon: 1e-05, iter: 2500, t: 0.759802, relres: 1.50282e-05, relerr: 2.118e-05
GerSax -> cdp, eig_init, n: 256, m: 1536, epsilon: 1e-05, iter: 2500, t: 0.875691, relres: 1.24505e-05, relerr: 1.52046e-05
GerSax -> cdp, eig_init, n: 256, m: 1536, epsilon: 1e-05, iter: 2500, t: 0.76493, relres: 5.01132e-05, relerr: 7.30701e-05
GerSax -> cdp, eig_init, n: 256, m: 1536, epsilon: 1e-05, iter: 2500, t: 0.757093, relres: 1.35481e-05, relerr: 1.79335e-05
GerSax -> cdp, eig_init, n: 256, m: 1536, epsilon: 1e-05, iter: 2500, t: 0.856689, relres: 1.36273e-05, relerr: 1.77601e-05
GerSax -> cdp, eig_init, n: 256, m: 1536, epsilon: 1e-05, iter: 2500, t: 0.896897, relres: 1.23132e-05, relerr: 1.48866e-05
