GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.001, iter: 2500, t: 242.236, relres: 0.00131425, relerr: 0.00122092
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 5e-05, iter: 2500, t: 216.599, relres: 7.3962e-05, relerr: 7.34279e-05
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 5e-05, iter: 2500, t: 216.371, relres: 7.4599e-05, relerr: 7.43823e-05
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 5e-05, iter: 2500, t: 215.796, relres: 7.44127e-05, relerr: 7.41332e-05
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 5e-05, iter: 2500, t: 214.978, relres: 7.26145e-05, relerr: 7.13574e-05
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 5e-05, iter: 2500, t: 215.23, relres: 7.20257e-05, relerr: 7.03686e-05
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 5e-05, iter: 2500, t: 217.413, relres: 7.44709e-05, relerr: 7.39747e-05
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 1e-05, iter: 2500, t: 224.449, relres: 1.58111e-05, relerr: 1.6122e-05
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 1e-05, iter: 2500, t: 226.828, relres: 1.53386e-05, relerr: 1.54489e-05
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 1e-05, iter: 2500, t: 224.568, relres: 1.54789e-05, relerr: 1.57075e-05
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 1e-05, iter: 2500, t: 214.859, relres: 1.5968e-05, relerr: 1.63605e-05
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 1e-05, iter: 2500, t: 222.172, relres: 1.53792e-05, relerr: 1.55708e-05
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 1e-05, iter: 2500, t: 225.199, relres: 1.50839e-05, relerr: 1.51285e-05
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 1e-05, iter: 2500, t: 220.095, relres: 1.62656e-05, relerr: 1.68056e-05
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 1e-05, iter: 2500, t: 225.421, relres: 1.54732e-05, relerr: 1.56506e-05
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 1e-05, iter: 2500, t: 221.012, relres: 1.58833e-05, relerr: 1.61669e-05
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 1e-05, iter: 2500, t: 224.031, relres: 1.54638e-05, relerr: 1.56563e-05
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.1, iter: 2500, t: 260.371, relres: 0.102024, relerr: 0.0772893
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.1, iter: 2500, t: 253.402, relres: 0.101835, relerr: 0.077257
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.1, iter: 2500, t: 264.274, relres: 0.101904, relerr: 0.0771586
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.1, iter: 2500, t: 244.752, relres: 0.101934, relerr: 0.0771497
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.1, iter: 2500, t: 231.689, relres: 0.101909, relerr: 0.0770923
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.1, iter: 2500, t: 235.062, relres: 0.102083, relerr: 0.077637
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.1, iter: 2500, t: 240.051, relres: 0.10182, relerr: 0.0771375
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.1, iter: 2500, t: 225.874, relres: 0.101844, relerr: 0.0771547
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.1, iter: 2500, t: 225.734, relres: 0.101944, relerr: 0.0768702
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.1, iter: 2500, t: 243.048, relres: 0.101762, relerr: 0.0771055
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.05, iter: 2500, t: 240.617, relres: 0.0539033, relerr: 0.0425647
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.05, iter: 2500, t: 229.109, relres: 0.0538825, relerr: 0.0424642
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.05, iter: 2500, t: 228.432, relres: 0.0538843, relerr: 0.0424683
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.05, iter: 2500, t: 226.862, relres: 0.0538743, relerr: 0.0424722
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.05, iter: 2500, t: 228.628, relres: 0.0538772, relerr: 0.0425772
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.05, iter: 2500, t: 229.239, relres: 0.0539239, relerr: 0.0424791
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.05, iter: 2500, t: 231.218, relres: 0.0538742, relerr: 0.0426127
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.05, iter: 2500, t: 230.289, relres: 0.0538938, relerr: 0.0423211
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.05, iter: 2500, t: 230.318, relres: 0.053909, relerr: 0.0426771
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.05, iter: 2500, t: 242.55, relres: 0.053904, relerr: 0.0425358
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.01, iter: 2500, t: 230.748, relres: 0.0118813, relerr: 0.0102114
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.01, iter: 2500, t: 240.161, relres: 0.0118984, relerr: 0.0102366
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.01, iter: 2500, t: 236.266, relres: 0.0118675, relerr: 0.010224
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.01, iter: 2500, t: 229.24, relres: 0.0118659, relerr: 0.0101821
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.01, iter: 2500, t: 229.979, relres: 0.0118694, relerr: 0.0102005
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.01, iter: 2500, t: 225.33, relres: 0.0118935, relerr: 0.0102464
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.01, iter: 2500, t: 249.617, relres: 0.0118834, relerr: 0.010225
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.01, iter: 2500, t: 261.666, relres: 0.0118853, relerr: 0.0102297
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.01, iter: 2500, t: 245.633, relres: 0.0118567, relerr: 0.0101849
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.01, iter: 2500, t: 243.09, relres: 0.0118813, relerr: 0.0102119
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.005, iter: 2500, t: 234.076, relres: 0.00615466, relerr: 0.00544738
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.005, iter: 2500, t: 227.818, relres: 0.00612994, relerr: 0.00541413
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.005, iter: 2500, t: 228.638, relres: 0.0061495, relerr: 0.0054465
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.005, iter: 2500, t: 240.388, relres: 0.00615386, relerr: 0.0054508
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.005, iter: 2500, t: 272.908, relres: 0.00613222, relerr: 0.00542799
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.005, iter: 2500, t: 255.252, relres: 0.00614731, relerr: 0.00542908
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.005, iter: 2500, t: 258.819, relres: 0.00615181, relerr: 0.00545944
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.005, iter: 2500, t: 258.178, relres: 0.00615297, relerr: 0.00544803
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.005, iter: 2500, t: 246.077, relres: 0.00616246, relerr: 0.00546229
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.005, iter: 2500, t: 242.946, relres: 0.00614349, relerr: 0.00544846
